80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,79644,78148,78148,78148,79146,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640,80640
77148,77148,77148,77148,77148,77148,77148,77148,77148,77148,77148,77148,77148,79141,81134,83127,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,85121,83626,81133,79141,77148,77148,77148,76149,74650,72650,71150,70148,68647,68647,68647,68647,70650,74150,77148,77148
78153,78153,78153,78153,78153,78153,78153,78153,78153,78153,78153,76653,79169,84182,89695,93208,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,93207,90199
87165,86183,82199,76707,82718,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,82723,77709,69192,73188,75664,79650,83152
74152,74152,74152,74152,74152,74152,74652,76156,82172,87190,93207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,96207,89698,82172
78153,78153,78153,78153,78153,78153,78153,78153,78153,78153,78153,78655,79157,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657,79657
91673,91673,91673,91673,91673,91673,91673,91673,92182,91691,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91695,91691,92182
93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,93176,94672,94672,94672,94672,94672,94672,94672,94672,94672,94672,94672,94672,94672,96674,99175,100677,100677,100677,100677
92172,94690,93207,88704,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202,87202
98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,100125,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100627,100626,100126,99631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631,98631
