37447,37672,37449,36998,36998,37222,36324,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421,35421
40105,40105,40105,40105,40105,40105,40105,40105,40105,40105,40105,40105,40105,40107,39251,39539,34609,9877,8974,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9649,13685,23584,37746,39246,38988,39655,40774,40774,40774,40774,40774,40774,40774
50625,50625,50625,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,46169,29762,29319,29319,30479,30479,30254,29579,29804,29804,30929,30479,31561,42579,43251,43251
47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,47068,45051,44150,44601,44822,44825,47517,47517,48418,48418,48418,46619,26598,26598,26143,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896,23896
46625,46625,46625,46625,46851,46850,47299,47296,47521,46622,46172,46626,45043,46172,45496,43258,45274,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625,50625
27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27048,27275,27314,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799,27799
44817,44817,44817,44817,44817,44817,44817,44817,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,42146,41895,41219
48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,48648,47982,46847,46624,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,45278,45278
41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42145,42365,42365,42365,42365,42365,42365,42365,42365,42365,42365,42365,42365,42365
42402,42402,42402,42402,46625,46625,46625,46625,46625,46625,46625,46625,46625,46625,46625,46625,46625,46625,46625,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172,46172
